"id","userid","anotheruser","firstcontacttimestamp","lastcontacttimestamp","distance","rssi","batterylevel"
109,"207ff938-b66d-4137-8343-7088616af16f","b6661f70-3752-433b-9b22-6446c959522c","2022-11-11 00:28:05.194+00","2022-11-11 00:28:07.515+00",5,-52.0,60
110,"207ff938-b66d-4137-8343-7088616af16f","a90d7e53-db59-49be-9ccd-5709053f3202","2022-11-11 00:28:05.208+00","2022-11-11 00:28:07.523+00",69,-67.0,60
111,"a90d7e53-db59-49be-9ccd-5709053f3202","b6661f70-3752-433b-9b22-6446c959522c","2022-11-11 00:25:57.404+00","2022-11-11 00:27:20.94+00",7,-57.0,19
112,"a90d7e53-db59-49be-9ccd-5709053f3202","207ff938-b66d-4137-8343-7088616af16f","2022-11-11 00:25:57.42+00","2022-11-11 00:27:20.957+00",33,-64.0,19
113,"b6661f70-3752-433b-9b22-6446c959522c","a90d7e53-db59-49be-9ccd-5709053f3202","2022-11-11 00:02:05.435+00","2022-11-11 00:11:43.408+00",53,-67.0,70
114,"b6661f70-3752-433b-9b22-6446c959522c","207ff938-b66d-4137-8343-7088616af16f","2022-11-11 00:02:05.52+00","2022-11-11 00:11:54.228+00",50,-66.0,70
115,"b6661f70-3752-433b-9b22-6446c959522c","5bfa6f7f-4264-48cb-a1fd-f2cab29af86f","2022-11-11 00:02:35.442+00","2022-11-11 00:06:05.6+00",432,-100.0,70
116,"b6661f70-3752-433b-9b22-6446c959522c","5bfa6f7f-4264-48cb-a1fd-f2cab29af86f","2022-11-11 00:10:05.431+00","2022-11-11 00:10:05.572+00",381,-94.0,68
117,"b6661f70-3752-433b-9b22-6446c959522c","a90d7e53-db59-49be-9ccd-5709053f3202","2022-11-11 00:38:39.921+00","2022-11-11 00:38:41.237+00",97,-70.0,68
118,"b6661f70-3752-433b-9b22-6446c959522c","207ff938-b66d-4137-8343-7088616af16f","2022-11-11 00:38:39.982+00","2022-11-11 00:38:40.031+00",37,-64.0,68
119,"207ff938-b66d-4137-8343-7088616af16f","a90d7e53-db59-49be-9ccd-5709053f3202","2022-11-11 00:28:38.416+00","2022-11-11 00:28:38.465+00",101,-71.0,60
120,"207ff938-b66d-4137-8343-7088616af16f","b6661f70-3752-433b-9b22-6446c959522c","2022-11-11 00:38:11.525+00","2022-11-11 00:39:01.576+00",10,-61.0,62
121,"207ff938-b66d-4137-8343-7088616af16f","a90d7e53-db59-49be-9ccd-5709053f3202","2022-11-11 00:38:11.553+00","2022-11-11 00:39:01.583+00",102,-67.0,62
